"state","fips","month","gallons_beer","ethanol_beer","population","per_capita","pct_change","ethanol_total","gallons_total","open_restrictions","deliver_to_homes_restrictions"
"1","AK","02",1,873146,39292,589481,0.0667,0.0448,107872,1138322,1,1
"2","AK","02",2,807103,36320,589481,0.0616,-0.0065,111267,1115282,1,1
"3","AK","02",3,1067000,48015,589481,0.0815,0.0225,147378,1447515,1,1
"4","AK","02",4,1029292,46318,589481,0.0786,-0.0509,125165,1340116,1,1
"5","AK","02",5,1325679,59656,589481,0.1012,-0.0958,151383,1680772,1,1
"6","AK","02",6,1374767,61865,589481,0.1049,-0.1131,157595,1756221,1,1
"7","AK","02",7,1510352,67966,589481,0.1153,-0.029,167869,1901159,1,1
"8","AK","02",8,1275847,57413,589481,0.0974,-0.1976,150691,1631756,1,1
"9","AR","05",1,3057175,137573,2476087,0.0556,-0.0311,327178,3814492,1,0
"10","AR","05",2,3432513,154463,2476087,0.0624,-7e-04,322890,4083532,1,0
"11","AR","05",3,3235304,145589,2476087,0.0588,-0.1175,319591,3890438,1,0
"12","AR","05",4,4164013,187381,2476087,0.0757,0.0102,387586,4938697,1,1
"13","AR","05",5,4560783,205235,2476087,0.0829,0.0941,424629,5410453,1,1
"14","AR","05",6,4295133,193281,2476087,0.0781,-0.093,411505,5105193,1,1
"15","AR","05",7,4936863,222159,2476087,0.0897,0.0822,479207,5892080,1,1
"16","AR","05",8,4776575,214946,2476087,0.0868,0.0324,428158,5575666,1,1
"17","CO","08",1,8914300,401144,4789291,0.0838,0.0026,932783,11075300,1,1
"18","CO","08",2,7843100,352940,4789291,0.0737,-0.014,956769,10299200,1,1
"19","CO","08",3,10305200,463734,4789291,0.0968,0.0832,1249473,13401100,1,1
"20","CO","08",4,9134800,411066,4789291,0.0858,-0.0551,1084090,11757200,1,1
"21","CO","08",5,11226400,505188,4789291,0.1055,-0.005,1212074,13935100,1,1
"22","CO","08",6,11534000,519030,4789291,0.1084,-0.0624,1381588,14820100,1,1
"23","CO","08",7,12535100,564080,4789291,0.1178,0.1009,1333042,15476900,1,1
"24","CO","08",8,12090800,544086,4789291,0.1136,-0.034,1297271,15018500,1,1
"25","CT","09",1,4291489,193117,3019188,0.064,0.1442,634464,6277299,1,1
"26","CT","09",2,3293585,148211,3019188,0.0491,-0.0403,521305,4828959,1,1
"27","CT","09",3,4057008,182565,3019188,0.0605,-0.0072,604664,5950535,1,1
"28","CT","09",4,3653464,164406,3019188,0.0545,-0.1398,514226,5188809,1,1
"29","CT","09",5,4463149,200842,3019188,0.0665,-0.1442,616054,6243984,1,1
"30","CT","09",6,5764363,259396,3019188,0.0859,0.0458,700742,7638544,1,1
"31","CT","09",7,5525593,248652,3019188,0.0824,0.0557,731287,7488932,1,1
"32","DE","10",1,1248514,56183,816603,0.0688,0.0047,160635,1673813,1,0
"33","DE","10",2,1331928,59937,816603,0.0734,0.0739,253474,2056870,1,0
"34","DE","10",3,1570039,70652,816603,0.0865,0.0104,281953,2380953,1,0
"35","DE","10",4,1310444,58970,816603,0.0722,-0.1453,241633,2010962,1,0
"36","DE","10",5,1774619,79858,816603,0.0978,-0.1611,288630,2522646,1,0
"37","DE","10",6,2392080,107644,816603,0.1318,0.1101,367787,3392290,1,0
"38","DE","10",7,2309364,103921,816603,0.1273,0.0788,294187,3034898,1,0
"39","FL","12",1,34260264,1541712,18207522,0.0847,0.0839,3793854,44147159,1,1
"40","FL","12",2,31051945,1397338,18207522,0.0767,-0.0382,3885876,42199168,1,1
"41","FL","12",3,38961260,1753257,18207522,0.0963,-0.0287,4891761,51874526,1,1
"42","FL","12",4,31766390,1429488,18207522,0.0785,-0.1172,3668117,41471454,1,1
"43","FL","12",5,37372548,1681765,18207522,0.0924,-0.0509,3980406,46972047,1,1
"44","FL","12",6,38453648,1730414,18207522,0.095,0.0574,4531790,49637490,1,1
"45","FL","12",7,36221876,1629984,18207522,0.0895,0.0535,3932577,45719052,1,1
"46","IL","17",1,17302917,778631,10512479,0.0741,0.0867,1613469,20960746,1,1
"47","IL","17",2,14518833,653347,10512479,0.0621,-0.1075,1651693,18772201,1,1
"48","IL","17",3,19097960,859408,10512479,0.0818,-0.0389,2028314,24131818,1,1
"49","IL","17",4,18280735,822633,10512479,0.0783,-0.0744,1891857,23005273,1,1
"50","IL","17",5,22083420,993754,10512479,0.0945,-0.1372,2180076,27158230,1,1
"51","IL","17",6,25509158,1147912,10512479,0.1092,-0.002,2484209,31167712,1,1
"52","IL","17",7,24537761,1104199,10512479,0.105,0.0635,2269295,29450095,1,1
"53","IL","17",8,22083621,993763,10512479,0.0945,-0.1635,2166944,26873199,1,1
"54","KS","20",1,4223947,190078,2371396,0.0802,0.1171,337118,4581709,1,1
"55","KS","20",2,4590295,206563,2371396,0.0871,0.1603,342403,4920806,1,1
"56","KS","20",3,3839498,172777,2371396,0.0729,0.1084,345420,4259554,1,1
"57","KS","20",4,4083550,183760,2371396,0.0775,-0.1397,363220,4520192,1,1
"58","KS","20",5,4789450,215525,2371396,0.0909,0.0911,361157,5143786,1,1
"59","KS","20",6,5635898,253615,2371396,0.1069,0.1383,426922,6057570,1,1
"60","KS","20",7,5489627,247033,2371396,0.1042,0.0139,415527,5899587,1,1
"61","KS","20",8,5224253,235091,2371396,0.0991,0.0579,470030,5795881,1,1
"62","KY","21",1,5477229,246475,3691561,0.0668,0.0156,717151,7124961,1,1
"63","KY","21",2,5637796,253701,3691561,0.0687,0.4853,501494,6502917,1,1
"64","KY","21",3,5823982,262079,3691561,0.071,-0.019,560383,6904517,1,1
"65","KY","21",4,6190006,278550,3691561,0.0755,-0.0672,669189,7542764,1,1
"66","KY","21",5,6523404,293553,3691561,0.0795,0.0322,668871,7844314,1,1
"67","KY","21",6,6041900,271886,3691561,0.0737,-0.0573,652228,7364866,1,1
"68","KY","21",7,6685745,300859,3691561,0.0815,-0.1372,722359,8125765,1,1
"69","KY","21",8,7100587,319526,3691561,0.0866,0.0567,705985,8416995,1,1
"70","MA","25",1,8783953,395278,5862386,0.0674,0.037,903903,11031645,1,1
"71","MA","25",2,8001865,360084,5862386,0.0614,0.0298,978195,10774869,1,1
"72","MA","25",3,8522469,383511,5862386,0.0654,-0.1195,1192274,12098091,1,1
"73","MA","25",4,9339014,420256,5862386,0.0717,-0.0942,1259307,13026666,1,1
"74","MA","25",5,8093156,364192,5862386,0.0621,-0.3358,1202804,11723218,1,1
"75","MA","25",6,10335283,465088,5862386,0.0793,-0.1312,1686331,15339113,1,1
"76","MA","25",7,11251830,506332,5862386,0.0864,-0.0161,1383299,14762972,1,1
"77","MA","25",8,10909138,490911,5862386,0.0837,-0.1193,1266279,14190645,1,1
"78","MO","29",1,8359075,376158,5077875,0.0741,-0.0625,878139,10445218,1,1
"79","MO","29",2,8692307,391154,5077875,0.077,0.1926,949817,10771908,1,1
"80","MO","29",3,10148309,456674,5077875,0.0899,-0.1743,1147742,12681561,1,1
"81","MO","29",4,10295949,463318,5077875,0.0912,-0.0447,1123515,12780903,1,1
"82","MO","29",5,10412428,468559,5077875,0.0923,-0.1193,1113204,12748577,1,1
"83","MO","29",6,11099851,499493,5077875,0.0984,-0.0682,1291738,13938139,1,1
"84","MO","29",7,12167060,547518,5077875,0.1078,0.0811,1251400,14707569,1,1
"85","MO","29",8,11519824,518392,5077875,0.1021,-0.0293,1231975,14177862,1,1
"86","ND","38",1,1605193,72234,617880,0.1169,0.0271,136593,1823868,1,0
"87","ND","38",2,1402642,63119,617880,0.1022,0.0311,136026,1646564,1,0
"88","ND","38",3,1609332,72420,617880,0.1172,-0.0101,173283,1947700,1,0
"89","ND","38",4,1663237,74846,617880,0.1211,-0.1113,157261,1955433,1,0
"90","ND","38",5,1668102,75065,617880,0.1215,-0.1855,160175,1953766,1,0
"91","ND","38",6,2091390,94113,617880,0.1523,-0.0844,208689,2468353,1,0
"92","ND","38",7,2108602,94887,617880,0.1536,0.0769,182638,2404573,1,0
"93","ND","38",8,2082598,93717,617880,0.1517,0.132,189255,2400322,1,0
"94","OR","41",1,6066399,272988,3547474,0.077,-0.0446,468721,7583708,1,1
"95","OR","41",2,6842158,307897,3547474,0.0868,0.0036,468486,8087034,1,1
"96","OR","41",3,4668238,210071,3547474,0.0592,-0.2845,332999,5621172,1,1
"97","OR","41",4,7050587,317276,3547474,0.0894,-0.0912,498853,8458161,1,1
"98","OR","41",5,8139362,366271,3547474,0.1032,-0.0047,531452,9419835,1,1
"99","OR","41",6,7969948,358648,3547474,0.1011,-0.1092,513689,9171819,1,1
"100","OR","41",7,8860090,398704,3547474,0.1124,-0.1033,636520,10703622,1,1
"101","OR","41",8,8303613,373663,3547474,0.1053,-0.0585,584931,9941350,1,1
"102","TN","47",1,9368969,421604,5661532,0.0745,0.0771,1214263,12525251,1,1
"103","TN","47",2,9156614,412048,5661532,0.0728,-0.0218,890862,11038499,1,1
"104","TN","47",3,8650538,389274,5661532,0.0688,0.0026,901796,10640541,1,1
"105","TN","47",4,10169227,457615,5661532,0.0808,0.1088,1087126,12615270,1,1
"106","TN","47",5,10296763,463354,5661532,0.0818,-0.0927,1093960,12718163,1,1
"107","TN","47",6,10124934,455622,5661532,0.0805,-0.1391,1101168,12579447,1,1
"108","TN","47",7,11436086,514624,5661532,0.0909,0.0011,1174045,13900997,1,1
"109","TN","47",8,11511536,518019,5661532,0.0915,-0.001,1161901,13927703,1,1
