"state","fips","month","gallons_spirits","ethanol_spirits","population","per_capita","pct_change","restaurant_open","capacity_restrictions","food_restrictions","hours_restrictions","outdoors_only_restrictions","takeout_or_curbside","deliver_to_homes","notes"
"1","AK","02",1,121885,50095,589481,0.085,0.1643,1,0,0,0,0,0,0,NA
"2","AK","02",2,124792,51290,589481,0.087,0.049,1,0,0,0,0,0,0,NA
"3","AK","02",3,178287,73276,589481,0.1243,0.2311,1,0,0,0,0,0,0,"Majority of days"
"4","AK","02",4,137414,56477,589481,0.0958,0.0424,0,0,0,0,0,1,1,"Majority of days"
"5","AK","02",5,162836,66926,589481,0.1135,-0.0501,1,1,0,0,0,1,1,NA
"6","AK","02",6,164974,67804,589481,0.115,-0.0631,1,0,0,0,0,1,1,NA
"7","AK","02",7,175495,72128,589481,0.1224,0.0236,1,0,0,0,0,1,1,NA
"8","AK","02",8,167964,69033,589481,0.1171,-0.0412,1,0,0,0,0,1,1,NA
"9","AR","05",1,325925,133955,2476087,0.0541,-0.0959,1,0,0,0,0,1,1,NA
"10","AR","05",2,299452,123075,2476087,0.0497,0.0968,1,0,0,0,0,1,1,NA
"11","AR","05",3,317338,130426,2476087,0.0527,0.0034,1,0,0,0,0,1,1,"Majority of days"
"12","AR","05",4,355568,146139,2476087,0.059,-0.0045,0,0,0,0,0,1,1,NA
"13","AR","05",5,389313,160008,2476087,0.0646,0.2177,1,0,0,0,0,1,1,"Majority of days"
"14","AR","05",6,403284,165750,2476087,0.0669,0.1015,1,1,0,0,0,1,1,NA
"15","AR","05",7,474558,195043,2476087,0.0788,0.3865,1,1,0,0,0,1,1,NA
"16","AR","05",8,390528,160507,2476087,0.0648,0.4004,1,1,0,0,0,1,1,NA
"17","CO","08",1,896700,368544,4789291,0.077,0.0854,1,0,0,0,0,0,0,NA
"18","CO","08",2,1017700,418275,4789291,0.0873,0.0471,1,0,0,0,0,0,0,NA
"19","CO","08",3,1370100,563111,4789291,0.1176,0.1684,1,0,0,0,0,0,0,"Majority of days"
