"state","fips","month","gallons_wine","ethanol_wine","population","per_capita","pct_change","ethanol_total","gallons_total","restaurant_open","capacity_restrictions","food_restrictions","hours_restrictions","outdoors_only_restrictions","takeout_or_curbside","deliver_to_homes","notes"
"1","AK","02",1,143291,18485,589481,0.0314,4e-04,107872,1138322,1,0,0,0,0,0,0,NA
"2","AK","02",2,183387,23657,589481,0.0401,0.0974,111267,1115282,1,0,0,0,0,0,0,NA
"3","AK","02",3,202228,26087,589481,0.0443,0.0808,147378,1447515,1,0,0,0,0,0,0,"Majority of days"
"4","AK","02",4,173410,22370,589481,0.0379,-7e-04,125165,1340116,0,0,0,0,0,1,1,"Majority of days"
"5","AK","02",5,192257,24801,589481,0.0421,-0.1506,151383,1680772,1,1,0,0,0,1,1,NA
"6","AK","02",6,216480,27926,589481,0.0474,-0.11,157595,1756221,1,0,0,0,0,1,1,NA
"7","AK","02",7,215312,27775,589481,0.0471,-0.0513,167869,1901159,1,0,0,0,0,1,1,NA
"8","AK","02",8,187945,24245,589481,0.0411,-0.2425,150691,1631756,1,0,0,0,0,1,1,NA
"9","AR","05",1,431392,55650,2476087,0.0225,0.0111,327178,3814492,1,0,0,0,0,1,1,NA
"10","AR","05",2,351567,45352,2476087,0.0183,-0.0776,322890,4083532,1,0,0,0,0,1,1,NA
"11","AR","05",3,337796,43576,2476087,0.0176,0.0821,319591,3890438,1,0,0,0,0,1,1,"Majority of days"
"12","AR","05",4,419116,54066,2476087,0.0218,0.0719,387586,4938697,0,0,0,0,0,1,1,NA
"13","AR","05",5,460357,59386,2476087,0.024,0.2212,424629,5410453,1,0,0,0,0,1,1,"Majority of days"
"14","AR","05",6,406776,52474,2476087,0.0212,0.0746,411505,5105193,1,1,0,0,0,1,1,NA
"15","AR","05",7,480659,62005,2476087,0.025,0.2433,479207,5892080,1,1,0,0,0,1,1,NA
"16","AR","05",8,408563,52705,2476087,0.0213,0.2962,428158,5575666,1,1,0,0,0,1,1,NA
"17","CO","08",1,1264300,163095,4789291,0.0341,0.031,932783,11075300,1,0,0,0,0,0,0,NA
"18","CO","08",2,1438400,185554,4789291,0.0387,-0.0523,956769,10299200,1,0,0,0,0,0,0,NA
"19","CO","08",3,1725800,222628,4789291,0.0465,0.1481,1249473,13401100,1,0,0,0,0,0,0,"Majority of days"
"20","CO","08",4,1435400,185167,4789291,0.0387,0.018,1084090,11757200,0,0,0,0,0,1,1,NA
"21","CO","08",5,1441100,185902,4789291,0.0388,-0.0077,1212074,13935100,0,0,0,0,0,1,1,NA
"22","CO","08",6,1730600,223247,4789291,0.0466,0.0432,1381588,14820100,1,1,0,0,0,1,1,NA
"23","CO","08",7,1560700,201330,4789291,0.042,0.0571,1333042,15476900,1,1,0,0,0,1,1,NA
"24","CO","08",8,1596100,205897,4789291,0.043,-0.0683,1297271,15018500,1,1,0,1,0,1,1,NA
"25","CT","09",1,1329152,171461,3019188,0.0568,0.3274,634464,6277299,1,0,0,0,0,1,1,NA
"26","CT","09",2,914697,117996,3019188,0.0391,-0.109,521305,4828959,1,0,0,0,0,1,1,NA
"27","CT","09",3,1262908,162915,3019188,0.054,0.0572,604664,5950535,0,0,0,0,0,1,1,"Majority of days"
